ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
minto,deppish,0,0,0,0,0.142857143,0,0,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.266666675,0.377777791,0.273333347,0.391111124,0.444444458,0.539682559,0.455555578,0.558730177,0.214285714,0,0,0,5,7,2,2,2,2,3,5,-2,0,-2,0
kippen,doersam,0,0,0.436507937,0.436507937,0.142857143,0.436507937,0.436507937,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0,0,0.24242425,0.343434355,0.248484861,0.355555567,0.380952392,0.472222239,0.39047621,0.488888904,0.285714286,0,0,0,6,7,2,2,2,3,4,4,-1,-1,0,0
bull,desplats,0.125,0.125,0.458333333,0.458333333,0.125,0.458333333,0.458333333,0.166666667,0.166666667,0.25,0.25,0.125,0.125,0.125,0.25,0.166666667,0.125,0.25,0.166666667,0.125,0.25,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.25,0.125,0,0,0,0,0,0,0.166666667,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.266666675,0.292929303,0.273333347,0.391111124,0.533333349,0.629629652,0.553333366,0.651851873,0.1875,0,0,0,4,8,1,2,1,2,3,6,-4,-1,-3,-1
roblin,devlin,0.5,0.5,0.666666667,0.666666667,0.5,0.666666667,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.633333333,0.633333333,0.633333333,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.428571429,0.428571429,0.428571429,0.25,0.25,0.25,0.375,0.375,0.375,0.5,0.5,0.5,0.4,0.4,0.4,0.25,0.25,0.25,0.5,0.5,0.5,0.428571429,0.428571429,0.428571429,0.375,0.375,0.375,0.35483871,0.35483871,0.35483871,0.285714286,0.285714286,0.285714286,0.75,0.75,0.5,0.5,0.5,0.75,0.481481486,0.629629638,0.485185193,0.639506181,0.619047625,0.708333343,0.623809533,0.719444454,0.583333333,0.428571429,0.428571429,0.428571429,6,6,2,2,2,2,4,4,0,0,0,0
frances,dewer,0.142857143,0.142857143,0.447619048,0.447619048,0.285714286,0.447619048,0.447619048,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.285714286,0.4,0.333333333,0.285714286,0.4,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0.055555556,0.076923077,0.064516129,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.370370381,0.400000012,0.276666683,0.411111122,0.500000015,0.567901254,0.512500025,0.585185203,0.214285714,0,0,0,7,5,2,2,2,2,5,3,2,0,2,0
dicaire,duer,0.285714286,0.285714286,0.595238095,0.635714286,0.428571429,0.635714286,0.635714286,0.181818182,0.181818182,0.25,0.25,0.142857143,0.142857143,0.257142857,0.45,0.327272727,0.428571429,0.75,0.545454545,0.428571429,0.75,0.545454545,0,0,0,0.125,0.2,0.153846154,0,0,0,0.111111111,0.166666667,0.133333333,0.363636364,0.5,0.285714286,0,0,0,0,0,0,0.363636364,0.5,0.285714286,0.153846154,0.2,0.125,0.133333333,0.166666667,0.111111111,0.111111111,0.19047619,0.140350877,0,0,0,0.5,0.5,0.75,0.5,0.666666667,0.5,0.33333334,0.493827171,0.34444446,0.508641985,0.458333343,0.555555569,0.470833354,0.570370383,0.5,0.315789474,0.4,0.260869565,7,4,1,1,4,2,3,2,3,2,1,0
stringer,dwyer,0.25,0.25,0.383333333,0.383333333,0.25,0.383333333,0.383333333,0.307692308,0.307692308,0.4,0.4,0.25,0.25,0.25,0.4,0.307692308,0.25,0.4,0.307692308,0.25,0.4,0.307692308,0.142857143,0.25,0.181818182,0.222222222,0.333333333,0.266666667,0,0,0,0.2,0.285714286,0.235294118,0.153846154,0.2,0.125,0,0,0,0,0,0,0.153846154,0.2,0.125,0,0,0,0,0,0,0.146341463,0.230769231,0.179104478,0.064516129,0.125,0.085106383,0,0,0,0,0.5,0,0.303030307,0.424242431,0.306060612,0.432323239,0.518518527,0.633333349,0.525925941,0.646666682,0.375,0,0,0,8,5,2,1,2,1,6,4,3,1,2,1
dodd,diamond,0.428571429,0.428571429,0.464285714,0.517857143,0.428571429,0.517857143,0.517857143,0.181818182,0.181818182,0.25,0.25,0.142857143,0.142857143,0.2,0.35,0.254545455,0.428571429,0.75,0.545454545,0.428571429,0.75,0.545454545,0,0,0,0.25,0.4,0.307692308,0,0,0,0.222222222,0.333333333,0.266666667,0.181818182,0.25,0.142857143,0,0,0,0,0,0,0.181818182,0.25,0.142857143,0.153846154,0.2,0.125,0.133333333,0.166666667,0.111111111,0.194444444,0.333333333,0.245614035,0.076923077,0.181818182,0.108108108,0.25,0.75,0.25,0.5,0.5,0.25,0.500000007,0.543209884,0.508333348,0.555555562,0.800000012,0.814814826,0.820000029,0.837037047,0.5,0.388888889,0.5,0.318181818,4,7,1,2,1,3,3,4,-3,-2,-1,-1
lumley,dimond,0.166666667,0.166666667,0.444444444,0.444444444,0.166666667,0.444444444,0.444444444,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.233333333,0.233333333,0.233333333,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.032258065,0.032258065,0.032258065,0,0,0,0.25,0.5,0.25,0.5,0.25,0.25,0.266666675,0.481481499,0.273333347,0.496296313,0.380952392,0.541666687,0.39047621,0.558333352,0.25,0,0,0,6,6,2,2,2,2,4,4,0,0,0,0
winchester,dievire,0.2,0.3,0.573809524,0.573809524,0.4,0.573809524,0.573809524,0.117647059,0.117647059,0.142857143,0.142857143,0.1,0.1,0.14,0.2,0.164705882,0.4,0.571428571,0.470588235,0.4,0.571428571,0.470588235,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0.285714286,0.2,0,0,0,0,0,0,0.235294118,0.285714286,0.2,0,0,0,0,0,0,0.078431373,0.111111111,0.091954023,0,0,0,0,0,0,0.25,0,0,0.3888889,0.490740756,0.32051284,0.507407422,0.484848499,0.583333353,0.500000027,0.600000019,0.25,0,0,0,10,7,3,1,3,4,7,3,3,-1,4,2
frouin,dick,0,0,0,0,0.166666667,0,0,0.2,0.2,0.25,0.25,0.166666667,0.166666667,0.166666667,0.25,0.2,0.166666667,0.25,0.2,0.166666667,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0.047619048,0.038461538,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.333333343,0.358024703,0.341666684,0.372839517,0.380952392,0.472222239,0.39047621,0.488888904,0.166666667,0,0,0,6,4,1,1,3,1,3,3,2,2,0,0
