first,second,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong
pheba,phibe,0.6,0.6,0.733333333,0.786666667,0.8,0.786666667,0.786666667,0.4,0.4,0.4,0.4,0.4,0.4,0.76,0.76,0.76,0.8,0.8,0.8,0.8,0.8,0.8,0.25,0.25,0.25,0.333333333,0.333333333,0.333333333,0,0,0,0.285714286,0.285714286,0.285714286,0.8,0.8,0.8,0.25,0.25,0.25,0,0,0,0.8,0.8,0.8,0.333333333,0.333333333,0.333333333,0.285714286,0.285714286,0.285714286,0.423076923,0.423076923,0.423076923,0.3125,0.3125,0.3125,1,1,1,1,0,1,0.777777791,0.809523821,0.585714306,0.822222233,0.777777791,0.809523821,0.794444472,0.828571439,0.8,0.740740741,0.769230769,0.714285714
phebe,ida,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.133333333,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.166666672,0.333333343,0.170833342,0.344444454,0.222222229,0.380952392,0.227777789,0.393650804,0.2,0,0,0
phebe,phebe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
phebe,pheby,0.8,0.8,0.866666667,0.92,0.8,0.92,0.92,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.75,0.75,0.75,0.666666667,0.666666667,0.666666667,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.730769231,0.730769231,0.730769231,0.6875,0.6875,0.6875,1,1,1,0.75,0,1,0.888888896,0.90476191,0.894444456,0.914285719,0.888888896,0.90476191,0.900000016,0.914285719,0.9,0.888888889,0.923076923,0.857142857
phebe,phoebe,0.833333333,0.833333333,0.944444444,0.955555556,0.833333333,0.955555556,0.955555556,0.545454545,0.909090909,0.6,1,0.5,0.833333333,0.633333333,0.76,0.690909091,0.833333333,1,0.909090909,0.833333333,1,0.909090909,0.6,0.75,0.666666667,0.714285714,0.833333333,0.769230769,0.25,0.333333333,0.285714286,0.625,0.714285714,0.666666667,0.909090909,1,0.833333333,0.666666667,0.75,0.6,0.285714286,0.333333333,0.25,0.909090909,1,0.833333333,0.769230769,0.833333333,0.714285714,0.666666667,0.714285714,0.625,0.677419355,0.807692308,0.736842105,0.571428571,0.75,0.648648649,1,1,1,1,0,1,0.809523812,0.819444448,0.814285721,0.825000003,0.944444448,0.93650794,0.950000008,0.942857146,0.916666667,0.888888889,0.923076923,0.857142857
phebee,phoeba,0.5,0.5,0.777777778,0.822222222,0.666666667,0.822222222,0.822222222,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.533333333,0.533333333,0.533333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.4,0.4,0.4,0.428571429,0.428571429,0.428571429,0,0,0,0.25,0.25,0.25,0.666666667,0.666666667,0.666666667,0.4,0.4,0.4,0,0,0,0.666666667,0.666666667,0.666666667,0.428571429,0.428571429,0.428571429,0.25,0.25,0.25,0.451612903,0.451612903,0.451612903,0.380952381,0.380952381,0.380952381,1,1,1,0.75,0,1,0.809523821,0.629629638,0.819047638,0.644444452,0.809523821,0.777777791,0.828571456,0.800000012,0.833333333,0.8,0.8,0.8
phebie,flevan,0.166666667,0.166666667,0.444444444,0.444444444,0.166666667,0.444444444,0.444444444,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.3,0.3,0.3,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.032258065,0.032258065,0.032258065,0,0,0,0,0.25,0.25,0.25,0,0.25,0.266666675,0.481481499,0.273333347,0.496296313,0.47619049,0.611111134,0.490476217,0.6277778,0.333333333,0,0,0
pheby,pheobe,0.666666667,0.666666667,0.822222222,0.875555556,0.666666667,0.875555556,0.875555556,0.545454545,0.545454545,0.6,0.6,0.5,0.5,0.5,0.6,0.545454545,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.4,0.5,0.444444444,0.428571429,0.5,0.461538462,0.25,0.333333333,0.285714286,0.375,0.428571429,0.4,0.727272727,0.8,0.666666667,0.444444444,0.5,0.4,0.285714286,0.333333333,0.25,0.727272727,0.8,0.666666667,0.461538462,0.5,0.428571429,0.4,0.428571429,0.375,0.483870968,0.576923077,0.526315789,0.380952381,0.5,0.432432432,1,1,1,0.75,0,1,0.714285723,0.736111119,0.72380954,0.750000007,0.833333343,0.841269851,0.844444464,0.857142866,0.833333333,0.785714286,0.785714286,0.785714286
phelix,felix,0.666666667,0.666666667,0.822222222,0.822222222,0.666666667,0.822222222,0.822222222,0.727272727,0.727272727,0.8,0.8,0.666666667,0.666666667,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.6,0.75,0.666666667,0.571428571,0.666666667,0.615384615,0.5,0.666666667,0.571428571,0.5,0.571428571,0.533333333,0.727272727,0.8,0.666666667,0.666666667,0.75,0.6,0.571428571,0.666666667,0.5,0.727272727,0.8,0.666666667,0.615384615,0.666666667,0.571428571,0.533333333,0.571428571,0.5,0.548387097,0.653846154,0.596491228,0.523809524,0.6875,0.594594595,0.75,1,1,1,0,0.5,0.761904768,0.763888896,0.766666676,0.775000006,0.761904768,0.833333343,0.766666676,0.844444454,0.75,1,1,1
pheoba,phebe,0.666666667,0.666666667,0.822222222,0.875555556,0.666666667,0.875555556,0.875555556,0.545454545,0.545454545,0.6,0.6,0.5,0.5,0.533333333,0.64,0.581818182,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.4,0.5,0.444444444,0.428571429,0.5,0.461538462,0.25,0.333333333,0.285714286,0.375,0.428571429,0.4,0.727272727,0.8,0.666666667,0.444444444,0.5,0.4,0.285714286,0.333333333,0.25,0.727272727,0.8,0.666666667,0.461538462,0.5,0.428571429,0.4,0.428571429,0.375,0.483870968,0.576923077,0.526315789,0.380952381,0.5,0.432432432,1,1,1,1,0,1,0.714285723,0.736111119,0.72380954,0.750000007,0.809523821,0.805555567,0.819047638,0.819444455,0.833333333,0.785714286,0.846153846,0.733333333
