,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
364,CC510321,64,100,1,1.391453739,1.499097388,1.415810111,1.282165696,1.348589994,1.245641692,1.439159276,1.246892738,1.30996538,1.259465212,1.284494597,1.237469483,5
365,CC510323,64,-100,1,1.85249405,1.720539496,1.763099414,1.62424723,1.646247142,1.306192724,1.6491049,1.433255966,1.513597278,1.431190528,1.501698436,1.359250452,5
366,CC510329,64,88,0,1.618203686,1.674894552,1.457236921,1.439598904,1.791693394,1.482128817,1.663878376,1.305344711,1.32673534,1.289390783,1.564551912,1.343739428,5
373,CC510415,64,100,1,1.56124759,1.858700156,1.633717345,1.569450808,1.565972392,1.589494128,1.538288697,1.436698584,1.472787824,1.372151824,1.482771832,1.275585456,5
389,CC520002,64,88,1,1.325625258,1.6178958,1.637232401,1.264926521,1.45288269,1.269070877,1.379966869,1.248360535,1.278608184,1.26791431,1.286514994,1.300994516,5
393,CC520053,64,100,0,1.445202652,1.262525981,1.298121397,1.25610197,1.273074754,1.25795391,1.287258676,1.24236061,1.41564481,1.419575364,1.357124307,1.366152432,5
419,CC520391,64,89,1,1.520480406,1.568175826,1.856268382,1.450970804,1.747712804,1.463060037,1.657755442,1.38623659,1.538193598,1.351441445,1.516121243,1.318646187,5
427,CC520552,64,100,0,1.341787869,1.275744211,1.415586121,1.277062909,1.391490288,1.266046256,1.282547314,1.260859925,1.345175908,1.34934582,1.333333664,1.285031544,5
432,CC520597,64,80,0,1.430061071,1.704486129,1.608114331,1.743686775,1.509036952,1.267240521,1.358015639,1.474779151,1.396063376,1.33043038,1.434396496,1.442149801,5
433,CC520607,64,100,1,1.896020225,1.861671042,1.735176922,1.734602462,1.63388542,1.61453468,1.656418091,1.539277533,1.522713528,1.475206718,1.484819045,1.375921001,5
348,CC510086,65,100,0,1.669391286,1.710165191,1.631803406,1.451612266,1.523844577,1.534150933,1.423755578,1.350849579,1.533319076,1.416737531,1.261680294,1.244022271,5
369,CC510355,65,100,1,1.617966875,1.429419844,1.30887262,1.330044744,1.284483277,1.277367828,1.281479352,1.403420212,1.282886079,1.273537045,1.283272407,1.250342254,5
375,CC510434,65,16,1,1.338059803,1.387773393,1.305508562,1.326279273,1.288421921,1.289515105,1.275361239,1.342574073,1.27467295,1.242221993,1.276087333,1.263097351,5
377,CC510473,65,100,0,1.50655662,1.924565659,1.407232705,1.739164058,1.618676298,1.256965449,1.605690218,1.290299024,1.342621482,1.438338475,1.426725837,1.30608782,5
397,CC520083,65,100,1,1.936783179,1.862167034,1.829307107,1.842366169,1.515647701,1.534990648,1.628461372,1.464641784,1.574972376,1.389327352,1.50547455,1.325614771,5
402,CC520136,65,100,1,1.612101886,1.511387302,1.469364697,1.55515517,1.317607289,1.465380722,1.419367275,1.407892185,1.401146979,1.329769027,1.388396248,1.300583134,5
411,CC520239,65,70,1,1.554745024,1.282026422,1.607010593,1.412454983,1.48322138,1.471593935,1.425883615,1.39763245,1.419393734,1.335819497,1.349575958,1.38177155,5
418,CC520390,65,100,1,1.686832699,1.777845537,1.742678487,1.555031827,1.431144722,1.425432419,1.305735039,1.416032787,1.26511516,1.261625214,1.280914511,1.260343836,5
426,CC520517,65,100,0,1.891777293,1.536465353,1.594708939,1.53682801,1.383689797,1.518960606,1.489813381,1.435230872,1.316986553,1.380148165,1.375656482,1.369808997,5
428,CC520560,65,100,0,1.307724397,1.28532615,1.300074335,1.259500805,1.424586652,1.452473969,1.3298436,1.402100623,1.284545759,1.310536721,1.260050069,1.296713572,5
352,CC510208,66,90,1,1.670002781,1.650380155,1.48944768,1.410458755,1.637565335,1.536710851,1.362410831,1.398697553,1.497659663,1.345046387,1.434966339,1.297824857,5
353,CC510220,66,88,0,1.813661108,1.905734259,1.664769639,1.682877505,1.576265636,1.603246054,1.525146607,1.514915361,1.420335372,1.387474973,1.415199205,1.39434001,5
355,CC510237,66,79,0,1.656451828,1.321918037,1.316575021,1.586084945,1.478509444,1.280293286,1.700528305,1.482513458,1.408174253,1.353614751,1.55170748,1.354589269,5
363,CC510304,66,100,1,1.713850167,1.266647447,1.614303327,1.304552673,1.556259764,1.284314049,1.550029187,1.310538409,1.480456672,1.46759442,1.47063359,1.426759157,5
378,CC510474,66,100,0,1.832517317,1.813929755,1.699292047,1.446418359,1.379542976,1.346952432,1.34729999,1.330020711,1.497583932,1.259812083,1.35502224,1.452516641,5
382,CC510534,66,100,0,1.336439982,1.292022474,1.312496308,1.309322349,1.308518943,1.269402026,1.361169144,1.342921893,1.270698152,1.256259827,1.311707086,1.249015003,5
400,CC520127,66,-78,0,1.727331146,1.866691695,1.746993929,1.78758245,1.57242644,1.260849184,1.492856601,1.506282008,1.419420128,1.403557552,1.357467929,1.243367371,5
408,CC520209,66,100,1,1.671993415,1.569043951,1.601865409,1.667425282,1.446557592,1.569835559,1.422794643,1.365100503,1.403020407,1.257334363,1.444288097,1.441556594,5
414,CC520254,66,80,1,1.683089599,1.850003259,1.703062169,1.404780303,1.632494791,1.55991173,1.441534224,1.447760908,1.435184196,1.435599591,1.308503407,1.265754156,5
423,CC520477,66,100,0,1.95691679,1.304709205,1.77133641,1.848886233,1.787728478,1.590325404,1.58673413,1.467747888,1.57461737,1.287756886,1.531620563,1.385392729,5
425,CC520503,66,100,0,1.727595977,1.697189907,1.696245302,1.583963958,1.67374529,1.541887877,1.341576184,1.375772298,1.541638176,1.290272735,1.246173427,1.322223901,5
429,CC520562,66,100,0,1.834980651,1.848558565,1.686840113,1.639450181,1.598888275,1.456934555,1.577711387,1.524348452,1.601032076,1.257442495,1.257138798,1.491763137,5
354,CC510226,67,-60,0,1.740247336,1.557202612,1.736971652,1.267728458,1.679591718,1.261773055,1.559131778,1.48612006,1.49662715,1.243101489,1.413166919,1.404490995,5
370,CC510392,67,89,0,1.70553486,1.685876991,1.671038192,1.680053668,1.654226621,1.563376463,1.43241535,1.484442423,1.374172814,1.346839684,1.448483423,1.399339394,5
391,CC520013,67,100,0,2.005482895,1.275533601,1.797537091,1.352476976,1.655414482,1.476971967,1.609677153,1.376866853,1.264374302,1.372884604,1.492183899,1.242193847,5
399,CC520122,67,100,0,1.691119395,1.70553819,1.666088545,1.718928307,1.492051547,1.599885112,1.477282588,1.495096175,1.331972235,1.322888661,1.343285474,1.339270438,5
401,CC520134,67,100,1,1.622615678,1.526062574,1.682772761,1.580302716,1.349812606,1.625549936,1.593622141,1.577861009,1.283047201,1.469054979,1.39829848,1.435348328,5
407,CC520200,67,100,1,1.739664966,1.42329902,1.570239306,1.371637857,1.408263953,1.526351481,1.450642507,1.424873352,1.405409754,1.32873034,1.27035983,1.3087827,5
435,CC520673,67,100,0,1.547191226,1.609727905,1.825223423,1.49066452,1.703735721,1.40205816,1.395079024,1.395621167,1.421622395,1.409564508,1.414787249,1.523611205,5
438,CC520868,67,90,0,1.974910902,1.351886544,1.873372309,1.509994986,1.855551863,1.437378225,1.649615786,1.310349974,1.538781543,1.306543421,1.468883129,1.244478036,5
371,CC510393,68,100,0,1.386676858,1.384709793,1.435435606,1.375321166,1.454294525,1.316295858,1.40439909,1.281436846,1.295936286,1.28721236,1.394041549,1.370320824,6
372,CC510395,68,100,0,1.542457546,1.363289808,1.706065601,1.295192801,1.372025553,1.359779614,1.381752696,1.362553932,1.277195276,1.271931498,1.28822521,1.281391911,6
379,CC510480,68,100,0,1.362241049,1.258894134,1.32566459,1.310268886,1.306665579,1.256968869,1.309357997,1.243294133,1.263092953,1.258096501,1.243490423,1.240167908,6
415,CC520279,68,80,1,1.644700473,1.288471902,1.641574973,1.403369548,1.367771982,1.388054904,1.363665905,1.427816588,1.33438405,1.352603559,1.477461732,1.365628793,6
431,CC520585,68,100,1,1.732366343,1.314747844,1.592835789,1.570483036,1.511457532,1.487985901,1.292815953,1.252298567,1.294875788,1.316324094,1.496763231,1.276898972,6
439,CC520980,68,100,0,1.742494887,1.832029092,1.702984263,1.397113686,1.635705945,1.540237626,1.562695049,1.466004058,1.464703808,1.486359761,1.435080874,1.42311836,6
441,CC610022,68,100,1,1.670879224,1.744896391,1.715877502,1.527721179,1.44668836,1.524863614,1.414044266,1.514729091,1.473172199,1.250131787,1.416735659,1.299887309,6
442,CC610028,68,100,0,1.361898823,1.644404124,1.392010698,1.434201821,1.78774959,1.364782796,1.432820926,1.335772386,1.382903136,1.280017993,1.331578263,1.256019248,6
