ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,DMetaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
symonds,simons,0.714285714,0.714285714,0.849206349,0.864285714,0.714285714,0.864285714,0.864285714,0.461538462,0.461538462,0.5,0.5,0.428571429,0.428571429,0.428571429,0.5,0.461538462,0.714285714,0.833333333,0.769230769,0.714285714,0.833333333,0.769230769,0.333333333,0.4,0.363636364,0.5,0.571428571,0.533333333,0.2,0.25,0.222222222,0.333333333,0.375,0.352941176,0.769230769,0.833333333,0.714285714,0.363636364,0.4,0.333333333,0.222222222,0.25,0.2,0.769230769,0.833333333,0.714285714,0.533333333,0.571428571,0.5,0.352941176,0.375,0.333333333,0.472222222,0.548387097,0.507462687,0.423076923,0.523809524,0.468085106,0.75,1,0.75,1,0.75,0.75,0.750000007,0.765432106,0.758333348,0.777777784,0.833333343,0.827160504,0.841666684,0.844444454,0.785714286,0.837209302,0.857142857,0.818181818,6,7,6,2,2,1,2,6,4,1,-1,2,0
tackaberry,tackabererry,0.833333333,0.833333333,0.944444444,0.966666667,0.833333333,0.966666667,0.966666667,0.727272727,0.909090909,0.8,1,0.666666667,0.833333333,0.716666667,0.86,0.781818182,0.833333333,1,0.909090909,0.833333333,1,0.909090909,0.818181818,1,0.9,0.846153846,1,0.916666667,0.8,1,0.888888889,0.857142857,1,0.923076923,0.909090909,1,0.833333333,0.9,1,0.818181818,0.888888889,1,0.8,0.909090909,1,0.833333333,0.916666667,1,0.846153846,0.923076923,1,0.857142857,0.819672131,0.980392157,0.892857143,0.784313725,0.975609756,0.869565217,1,1,1,1,1,1,0.916666667,0.857142857,0.916666667,0.857142857,1,1,1,1,0.916666667,0.776119403,0.866666667,0.702702703,1,10,12,4,5,3,4,7,8,-2,-1,-1,-1
tackaberry,tackaberry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,10,4,4,3,3,7,7,0,0,0,0
tandif,tardif,0.833333333,0.833333333,0.888888889,0.911111111,0.833333333,0.911111111,0.911111111,0.5,0.833333333,0.5,0.833333333,0.5,0.833333333,0.666666667,0.666666667,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.714285714,0.714285714,0.714285714,0.25,0.25,0.25,0.625,0.625,0.625,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.25,0.25,0.25,0.833333333,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.625,0.625,0.625,0.677419355,0.677419355,0.677419355,0.571428571,0.571428571,0.571428571,0.75,0.75,0.5,0.75,0.75,0.75,0.90476191,0.916666672,0.909523819,0.925000004,0.90476191,0.916666672,0.909523819,0.925000004,0.833333333,0.837209302,0.857142857,0.818181818,3,6,6,2,2,2,2,4,4,0,0,0,0
tanner,tanner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,2,2,2,2,4,4,0,0,0,0
taplin,taplin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,2,2,2,2,4,4,0,0,0,0
tardif,tardif,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,2,2,2,2,4,4,0,0,0,0
tardif,tardof,0.833333333,0.833333333,0.888888889,0.933333333,0.833333333,0.933333333,0.933333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.9,0.9,0.9,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.714285714,0.714285714,0.714285714,0.5,0.5,0.5,0.625,0.625,0.625,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.5,0.5,0.5,0.833333333,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.625,0.625,0.625,0.709677419,0.709677419,0.709677419,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,0.90476191,0.916666672,0.909523819,0.925000004,0.90476191,0.916666672,0.909523819,0.925000004,0.916666667,0.909090909,0.909090909,0.909090909,1,6,6,2,2,2,2,4,4,0,0,0,0
tarrell,farrell,0.857142857,0.857142857,0.904761905,0.904761905,0.857142857,0.904761905,0.904761905,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.833333333,0.833333333,0.833333333,0.75,0.75,0.75,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.857142857,0.857142857,0.857142857,0.833333333,0.833333333,0.833333333,0.8,0.8,0.8,0.857142857,0.857142857,0.857142857,0.75,0.75,0.75,0.666666667,0.666666667,0.666666667,0.805555556,0.805555556,0.805555556,0.807692308,0.807692308,0.807692308,0.75,0.75,0.75,0.75,0.666666667,0.75,0.916666672,0.92592593,0.920833342,0.933333337,0.916666672,0.92592593,0.920833342,0.933333337,0.857142857,0.652173913,0.652173913,0.652173913,3,7,7,2,2,2,2,5,5,0,0,0,0
tattersall,tattersall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,10,10,3,3,3,3,7,7,0,0,0,0
