ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
napolion,napoleon,0.875,0.875,0.916666667,0.95,0.875,0.95,0.95,0.625,0.875,0.625,0.875,0.625,0.875,0.925,0.925,0.925,0.875,0.875,0.875,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.777777778,0.777777778,0.777777778,0.5,0.5,0.5,0.7,0.7,0.7,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.5,0.5,0.5,0.875,0.875,0.875,0.777777778,0.777777778,0.777777778,0.7,0.7,0.7,0.756097561,0.756097561,0.756097561,0.709677419,0.709677419,0.709677419,1,1,1,1,0,1,0.92592593,0.933333337,0.929629637,0.940000004,0.92592593,0.933333337,0.929629637,0.940000004,0.9375,0.928571429,0.928571429,0.928571429,1,8,8,3,3,4,4,4,4,0,0,0,0
napolion,napolian,0.875,0.875,0.916666667,0.95,0.875,0.95,0.95,0.75,0.75,0.75,0.75,0.75,0.75,0.925,0.925,0.925,0.875,0.875,0.875,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.777777778,0.777777778,0.777777778,0.666666667,0.666666667,0.666666667,0.7,0.7,0.7,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.666666667,0.666666667,0.666666667,0.875,0.875,0.875,0.777777778,0.777777778,0.777777778,0.7,0.7,0.7,0.780487805,0.780487805,0.780487805,0.774193548,0.774193548,0.774193548,1,1,1,1,0,1,0.92592593,0.933333337,0.929629637,0.940000004,0.92592593,0.933333337,0.933333344,0.940000004,0.9375,0.928571429,0.928571429,0.928571429,1,8,8,3,3,4,4,4,4,0,0,0,0
narcifse,narcisse,0.875,0.875,0.916666667,0.95,0.875,0.95,0.95,0.625,0.875,0.625,0.875,0.625,0.875,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.777777778,0.777777778,0.777777778,0.5,0.5,0.5,0.7,0.7,0.7,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.5,0.5,0.5,0.875,0.875,0.875,0.777777778,0.777777778,0.777777778,0.7,0.7,0.7,0.756097561,0.756097561,0.756097561,0.709677419,0.709677419,0.709677419,0.75,0.5,0.5,1,0,0.75,0.92592593,0.933333337,0.929629637,0.940000004,0.92592593,0.933333337,0.929629637,0.940000004,0.875,0.913043478,0.913043478,0.913043478,1,8,8,1,1,3,3,5,5,0,0,0,0
narcipe,narcisse,0.75,0.75,0.869047619,0.921428571,0.75,0.921428571,0.921428571,0.666666667,0.666666667,0.714285714,0.714285714,0.625,0.625,0.625,0.714285714,0.666666667,0.75,0.857142857,0.8,0.75,0.857142857,0.8,0.571428571,0.666666667,0.615384615,0.666666667,0.75,0.705882353,0.5,0.6,0.545454545,0.6,0.666666667,0.631578947,0.8,0.857142857,0.75,0.615384615,0.666666667,0.571428571,0.545454545,0.6,0.5,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.631578947,0.666666667,0.6,0.585365854,0.666666667,0.623376623,0.548387097,0.653846154,0.596491228,0.75,0.75,0.75,1,0,0.75,0.814814819,0.811111116,0.818518526,0.820000005,0.916666672,0.901234574,0.920833342,0.911111116,0.875,0.577777778,0.590909091,0.565217391,1,7,8,1,1,3,3,4,5,-1,0,-1,0
narcissa,narcissa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,3,3,3,3,5,5,0,0,0,0
narcisse,narcisse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,8,1,1,3,3,5,5,0,0,0,0
natalie,nethalie,0.75,0.75,0.813492063,0.832142857,0.75,0.832142857,0.832142857,0.533333333,0.533333333,0.571428571,0.571428571,0.5,0.5,0.65,0.742857143,0.693333333,0.75,0.857142857,0.8,0.75,0.857142857,0.8,0.428571429,0.5,0.461538462,0.555555556,0.625,0.588235294,0.333333333,0.4,0.363636364,0.5,0.555555556,0.526315789,0.8,0.857142857,0.75,0.461538462,0.5,0.428571429,0.363636364,0.4,0.333333333,0.8,0.857142857,0.75,0.588235294,0.625,0.555555556,0.526315789,0.555555556,0.5,0.56097561,0.638888889,0.597402597,0.483870968,0.576923077,0.526315789,1,1,1,1,0,1,0.777777784,0.788888896,0.785185198,0.795555562,0.875000007,0.876543217,0.887500018,0.888888896,0.8125,0.837209302,0.857142857,0.818181818,1,7,8,1,1,4,4,3,4,-1,0,-1,0
nathanael,nathaniel,0.888888889,0.888888889,0.925925926,0.955555556,0.888888889,0.955555556,0.955555556,0.666666667,0.888888889,0.666666667,0.888888889,0.666666667,0.888888889,0.933333333,0.933333333,0.933333333,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.75,0.75,0.75,0.8,0.8,0.8,0.571428571,0.571428571,0.571428571,0.727272727,0.727272727,0.727272727,0.888888889,0.888888889,0.888888889,0.75,0.75,0.75,0.571428571,0.571428571,0.571428571,0.888888889,0.888888889,0.888888889,0.8,0.8,0.8,0.727272727,0.727272727,0.727272727,0.782608696,0.782608696,0.782608696,0.75,0.75,0.75,1,1,1,1,0,1,0.866666669,0.939393943,0.866666669,0.945454549,0.966666669,0.939393943,0.970000005,0.947474751,0.944444444,0.931034483,0.931034483,0.931034483,1,9,9,3,3,4,4,5,5,0,0,0,0
nathaniel,nathaniel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,9,9,3,3,4,4,5,5,0,0,0,0
nathen,nathen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,2,2,2,4,4,0,0,0,0
